"ComponentName","ComponentType","ComponentVendor","ComponentDescription","ComponentHomepageLink","ComponentDownloadLink","ComponentSourceLink","ComponentNeedDescription","ComponentComment","ComponentUsedVersionNumber","ComponentUsedVersionDate","ComponentRestrictedRestrictionType","ComponentRestrictedVersionNumber","ComponentRestrictedVersionDate","ComponentRestrictedVersionReason","ComponentVersionDate","ComponentVersionDescription","ComponentVersionComments","ComponentVersionDownloadLink","ComponentVersionHomepageLink","ComponentVersionSourceLink","ComponentVersionLicenseType","ComponentVersionLicenseName","ComponentVersionLicenseFile","ComponentVersionLicenseLink","ComponentVersionUsedPatchDate","ComponentVersionPatchDate","ComponentVersionPatchDescription","ComponentVersionPatchReason","ComponentVersionPatchSolution","ComponentVersionPatchBuild","ComponentVersionPatchComments"
"trr","mandatory","Together Teamsolutions Co.,Ltd","Together Read Registry(TRR) is NSIS script application used for getting default value of property variable jdk.dir from registry","http://www.together.at","","","","",="1.2-1","20120515-1200-TAB-2.0-1","",="","","","","","","","","","Open Source","GPL V3.0","GPL-3.0.txt","http://www.gnu.org/licenses/gpl.html","","","","","","",""
"txm-(Together XPDL Model)","mandatory","Together Teamsolutions Co.,Ltd","A library that provides capability to handle XPDL(2) model based on XPDL schema. It can read any file that conforms to XPDL specification and can also produce XPDL conformant file.","http://sourceforge.net/projects/jxpdl","","http://sourceforge.net/projects/jxpdl","","",="1.4-1","20120515-1200-TAB-2.0-1","",="","","","","","","","","","Open Source","GPL V3.0","GPL-3.0.txt","http://www.gnu.org/licenses/gpl.html","","","","","","",""
"ant","mandatory","Apache Software Foundation","Ant is a Java library and command-line tool. Ant's mission is to drive processes described in build files as targets and extension points dependent upon each other. The main known usage of Ant is the build of Java applications. Ant supplies a number of built-in tasks allowing to compile; assemble; test and run Java applications.","http://ant.apache.org/index.html","http://ant.apache.org/bindownload.cgi","http://ant.apache.org/srcdownload.cgi","Building Java application","Ant is written in Java. Users of Ant can develop their own "antlibs" containing Ant tasks and types; and are offered a large number of ready-made commercial or open-source "antlibs". Ant is extremely flexible and does not impose coding conventions or directory layouts to the Java projects which adopt it as a build tool.",="1.8.2","2010-12-27","",="","","","2010-12-27","Performance improvements in directory scanning; XSLT task honors classpath again; distinction between core tasks and optional tasks is abolished and numerous bug fixes and improvements as documented in Bugzilla and in WHATSNEW","Ant is written in Java. Users of Ant can develop their own "antlibs" containing Ant tasks and types; and are offered a large number of ready-made commercial or open-source "antlibs". Ant is extremely flexible and does not impose coding conventions or directory layouts to the Java projects which adopt it as a build tool.","http://ant.apache.org/bindownload.cgi","http://ant.apache.org/index.html","http://ant.apache.org/srcdownload.cgi","Open Source","Apache V2.0","APACHE-2.0.txt","http://www.apache.org/licenses/LICENSE-2.0.html","","","","","","",""
"antcontrib","mandatory","Apache Software Foundation","The Ant-Contrib project is a collection of tasks (and at one point maybe types and other tools) for Apache Ant.","http://ant-contrib.sourceforge.net/","http://sourceforge.net/projects/ant-contrib/files/ant-contrib/","http://sourceforge.net/projects/ant-contrib/files/ant-contrib/","To used with Apache Ant for some task list.","First you must install Apache Ant itself, most of the Ant-Contrib tasks require Ant 1.5 or higher to work properly.",="1.0b3","2006-11-02","",="","","","2006-11-02","The Ant-Contrib project is a collection of tasks (and at one point maybe types and other tools) for Apache Ant.","First you must install Apache Ant itself, most of the Ant-Contrib tasks require Ant 1.5 or higher to work properly.","http://sourceforge.net/projects/ant-contrib/files/ant-contrib/","http://ant-contrib.sourceforge.net/","http://sourceforge.net/projects/ant-contrib/files/ant-contrib/","Open Source","Apache V1.1","APACHE-1.1.txt","http://www.apache.org/licenses/LICENSE-1.1","","","","","","",""
"avalon-framework","mandatory","Apache Software Foundation","Avalon-Framework is a small but vital jar file distributed by the Avalon project, and some associated documentation. Avalon-Framework (often abbreviated as AF, or even AF4 for version 4 of the framework) defines several 'lifecycle interfaces' that provide a common way for components to be created, initialized, configured, started, etcetera. Part of that lifecycle is support for Inversion of Control. With a fancy term, Avalon provides service-locator-based-dependency-injection. In less fancy terms, Avalon-Framework components implement an interface.","http://avalon.apache.org/","http://archive.apache.org/dist/avalon/avalon-framework/","http://archive.apache.org/dist/avalon/avalon-framework/","Encapsulating a configuration node used to retrieve configuration values. A read only interface preventing applications from modifying their own configurations. Once it is created, the information never changes.","By 2004 Avalon had grown into several subprojects which have since separated into the following: Excalibur: Apache Excalibur houses the Avalon 4.x framework; the Fortress IoC container; and several Avalon related components and utilities such as LogKit and the Cornerstone Component Collection. Loom: Codehaus Loom continues development of a micro-kernel container after the design of Avalon Phoenix. Metro: DPML's Metro project develops the next generation of the Merlin Service Platform using the Open Participation Software model. Castle: an IoC Framework and Container for C",="4.2.0","2004-05-16","",="","","","2004-05-16","Apache Avalon began in 1999 as the Java Apache Server Framework and in late 2002 separated from the Apache Jakarta Project to become its own ASF top level project. Apache Avalon provided Java software for component and container programming and pioneered the use of design patterns such as Inversion of Control (IoC) and Separation of Concerns (SoC).","By 2004 Avalon had grown into several subprojects which have since separated into the following: Excalibur: Apache Excalibur houses the Avalon 4.x framework; the Fortress IoC container; and several Avalon related components and utilities such as LogKit and the Cornerstone Component Collection. Loom: Codehaus Loom continues development of a micro-kernel container after the design of Avalon Phoenix. Metro: DPML's Metro project develops the next generation of the Merlin Service Platform using the Open Participation Software model. Castle: an IoC Framework and Container for C Sharp and the .NET platform. Based on the C Sharp Avalon implementation.","http://archive.apache.org/dist/avalon/avalon-framework/","http://avalon.apache.org/","http://archive.apache.org/dist/avalon/avalon-framework/","Open Source","Apache V2.0","APACHE-2.0.txt","http://www.apache.org/licenses/LICENSE-2.0.html","","","","","","",""
"batik","mandatory","Apache Software Foundation","Batik is a Java-based toolkit for applications or applets that want to use images in the Scalable Vector Graphics (SVG) format for various purposes; such as display; generation or manipulation.","http://xmlgraphics.apache.org/batik/index.html","http://xmlgraphics.apache.org/batik/download.cgi","http://xmlgraphics.apache.org/batik/download.cgi","With Batik; you can manipulate SVG documents anywhere Java is available.","Comes from FOP",="1.7r608262","2008-01-09","",="","","","2008-01-09","The latest revision of Batik, release 1.7, is a conformant static SVG implementation and supports interactivity, linking and scripting features of the SVG specification. This release supports a nearly complete implementation of declarative animation, too.","Used batik.jar that comes from FOP","http://xmlgraphics.apache.org/batik/download.cgi","http://xmlgraphics.apache.org/batik/index.html","http://xmlgraphics.apache.org/batik/download.cgi","Open Source","Apache V2.0","APACHE-2.0.txt","http://www.apache.org/licenses/LICENSE-2.0.html","","","","","","",""
"commons-io","mandatory","Apache Software Foundation","Commons IO is a library of utilities to assist with developing IO functionality.","http://commons.apache.org/io/","http://archive.apache.org/dist/commons/io/source/","http://archive.apache.org/dist/commons/io/source/","An IO library containing utility classes; stream implementations; file filters and endian classes.","Commons-IO contains utility classes; endian classes; line iterator; file filters; file comparators and stream implementations.",="2.1","2011-10-03","",="","","","2011-10-03","Commons IO is a library of utilities to assist with developing IO functionality.","Commons-IO contains utility classes; endian classes; line iterator; file filters; file comparators and stream implementations.","http://archive.apache.org/dist/commons/io/binaries/","http://commons.apache.org/io/","http://archive.apache.org/dist/commons/io/source/","Open Source","Apache V2.0","APACHE-2.0.txt","http://www.apache.org/licenses/LICENSE-2.0.html","","","","","","",""
"commons-logging","mandatory","The Apache Software Foundation","The Logging package is an ultra-thin bridge between different logging implementations. A library that uses the commons-logging API can be used with any logging implementation at runtime.","http://commons.apache.org/logging/","http://commons.apache.org/logging/download_logging.cgi","http://commons.apache.org/logging/download_logging.cgi","Applications (rather than libraries) may also choose to use commons-logging.","This release is a minor update to the 1.1 release that fixes a number of bugs; and resolves packaging issues for maven 1.x and maven 2.x users.",="1.1.1","2007-11-26","",="","","","2007-11-26","The Logging package is an ultra-thin bridge between different logging implementations. A library that uses the commons-logging API can be used with any logging implementation at runtime.","This release is a minor update to the 1.1 release that fixes a number of bugs; and resolves packaging issues for maven 1.x and maven 2.x users.","http://commons.apache.org/logging/download_logging.cgi","http://commons.apache.org/logging/","http://commons.apache.org/logging/download_logging.cgi","Open Source","Apache V2.0","APACHE-2.0.txt","http://www.apache.org/licenses/LICENSE-2.0.html","","","","","","",""
"docbook-dtd","mandatory","OASIS","DocBook is a schema (available in several languages including RELAX NG, W3C XML Schemas, and XML DTDs) maintained by the DocBook Technical Committee of OASIS. It is particularly well suited to books and papers about computer hardware and software (though it is by no means limited to these applications).","http://www.docbook.org/","http://www.docbook.org/schemas/5x.html","http://www.docbook.org/schemas/5x.html","The DocBook DTD is a set of markup declarations that define a document type for SGML-family markup languages (SGML, XML, HTML). DTDs were a precursor to XML schemas and have a similar function, although different capabilities.","DTDs use a terse formal syntax that declares precisely which elements and references may appear where in the document of the particular type, and what the elements? contents and attributes are. DTDs also declare entities which may be used in the instance document.",="5.0","2009-11-01","",="","","","2006-10-03","DocBook is a schema (available in several languages including RELAX NG, W3C XML Schemas, and XML DTDs) maintained by the DocBook Technical Committee of OASIS. It is particularly well suited to books and papers about computer hardware and software (though it is by no means limited to these applications).","DTDs use a terse formal syntax that declares precisely which elements and references may appear where in the document of the particular type, and what the elements? contents and attributes are. DTDs also declare entities which may be used in the instance document.","http://www.docbook.org/schemas/5x.html","http://www.docbook.org/","http://www.docbook.org/schemas/5x.html","Open Source","FDL V1.3 / MIT-DocBook","FDL-1.3.txt,MIT-DocBook.txt","http://www.gnu.org/licenses/fdl-1.3.html","","","","","","",""
"docbook-xsl","mandatory","OASIS","DocBook is an XML vocabulary that lets you create documents in a presentation-neutral form that captures the logical structure of your content. Using free tools along with the DocBook XSL stylesheets, you can publish your content as HTML pages and PDF files, and in many other formats.","http://docbook.sourceforge.net/","http://sourceforge.net/projects/docbook/files/","http://sourceforge.net/projects/docbook/files/","If you want to publish DocBook documents using the DocBook XSL stylesheets.","The DocBook Project supports the open-source development of a variety of DocBook resources; in particular, the DocBook XSL stylesheets.",="1.76.1","2010-11-01","",="","","","2010-11-01","DocBook is an XML vocabulary that lets you create documents in a presentation-neutral form that captures the logical structure of your content. Using free tools along with the DocBook XSL stylesheets, you can publish your content as HTML pages and PDF files, and in many other formats.","The following is a list of changes that have been made since the 1.76.0 release. Common The following changes have been made to the common code since the 1.76.0 release.","http://sourceforge.net/projects/docbook/files/","http://docbook.sourceforge.net/","http://sourceforge.net/projects/docbook/files/","Open Source","FDL V1.3 / MIT-DocBook","FDL-1.3.txt,MIT-DocBook.txt","http://www.gnu.org/licenses/fdl-1.3.html","","","","","","",""
